date,1967,1968,1969,1970,1971,1972,1973,2020,2021,2022
Jan,20.5,20,21.5,20,21,20,22,19.22,19.5,19.94
Feb,20,21.5,20,22,20,20,21,19.21,20,19.8
Mar,20.5,19,21,20,21,20,21,19.13,18,17.86
Apr,18.5,18,17.5,17,19,18,18,17.09,18,16.83
May,14.5,13,15,14,15,15,15,14.46,14,14.85
Jun,13.5,12,12,13,12,12,13,13,13,12.15
Jul,12.5,11.5,12,11,11,12,13,12,11,10.44
Aug,13.5,12,12,11,13,13,14,11,11,10.72
Sep,12.5,14,14,14,14,16,15,14,13.5,13.87
Oct,17,15,16,16,14,17,16,16,15.5,13.5
Nov,16.5,18,17,18,16,19,17,18,16,15.8
Dec,19.5,19.5,19,20,19,20,18,19.2,15,17.94
